Amount,Description,Place
"300,000 ֏ monthly","3 room apartment on Mashtots Avenue, 62 sq.m., 2/5 floor, high ceilings, major renovation","Kentron, 3 rm., 62 sq.m., 2/5 floor"
"270,000 ֏ monthly","3 room apartment in a new building on Rostom Street, 80 sq.m., 2/10 floor, high ceilings","Kentron, 3 rm., 80 sq.m., 2/10 floor"
"230,000 ֏ monthly","2 room apartment in a new building on Chekhov Street, 53 sq.m., 8/12 floor, high ceilings","Shengavit, 2 rm., 53 sq.m., 8/12 floor"
"350,000 ֏ monthly","3 room apartment on Tamanyan Street, 75 sq.m., second to last floor, high ceilings, major renovation","Kentron, 3 rm., 75 sq.m., 4/5 floor"
"200,000 ֏ monthly","2 room apartment, Komitas avenu, 74 sq.m., second to last floor, euro renovation","Arabkir, 2 rm., 74 sq.m., 8/9 floor"
"240,000 ֏ monthly","3 room apartment in a new building, Չեխովի փողոց, 59 sq.m., 7/11 floor, high ceilings","Shengavit, 3 rm., 59 sq.m., 7/11 floor"
"240,000 ֏ monthly","3 room apartment on Duryan street, 80 sq.m., 7/14 floor, major renovation","Avan, 3 rm., 80 sq.m., 7/14 floor"
"240,000 ֏ monthly","3 room apartment on Tigran Mets Avenue, 63 sq.m., 3/9 floor, cosmetic renovation","Kentron, 3 rm., 63 sq.m., 3/9 floor"
"250,000 ֏ monthly","2 room apartment on Nalbandyan Street, 60 sq.m., 3/5 floor, high ceilings, multiple balconies","Kentron, 2 rm., 60 sq.m., 3/5 floor"
"$1,000 monthly","3 room apartment on Mashtots Avenue, 70 sq.m., 5/9 floor, high ceilings, major renovation","Kentron, 3 rm., 70 sq.m., 5/9 floor"
"200,000 ֏ monthly","2 room apartment on Komitas Avenue, 44 sq.m., 2/5 floor, major renovation, stone building","Arabkir, 2 rm., 44 sq.m., 2/5 floor"
"230,000 ֏ monthly","2 room apartment on Raffi street, 65 sq.m., 2/9 floor, high ceilings, major renovation","Malatia-Sebastia, 2 rm., 65 sq.m., 2/9 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Adonts Street, 80 sq.m., high ceilings, major renovation","Arabkir, 3 rm., 80 sq.m., 14/14 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Leningradyan Street, 58 sq.m., second to last floor","Malatia-Sebastia, 2 rm., 58 sq.m., 15/16 floor"
"270,000 ֏ monthly","2 room apartment in a new building, Նիկողայոս Ադոնցի փողոց, 55 sq.m., 11/13 floor, high ceilings","Arabkir, 2 rm., 55 sq.m., 11/13 floor"
$800 monthly,"2 room apartment on Tumanyan Street, 70 sq.m., 3/5 floor, high ceilings, multiple balconies","Kentron, 2 rm., 70 sq.m., 3/5 floor"
"270,000 ֏ monthly","2 room apartment on Arabkir 37-th street, 57 sq.m., 3/6 floor, multiple balconies, major renovation","Arabkir, 2 rm., 57 sq.m., 3/6 floor"
"270,000 ֏ monthly","3 room apartment on Adonts Street, 75 sq.m., 2/5 floor, high ceilings, major renovation","Arabkir, 3 rm., 75 sq.m., 2/5 floor"
"300,000 ֏ monthly","2 room apartment on Pushkin Street, 50 sq.m., major renovation","Kentron, 2 rm., 50 sq.m., 9/9 floor"
"220,000 ֏ monthly","1 room apartment on Hanrapetutyan Street, 40 sq.m., second to last floor, high ceilings","Kentron, 1 rm., 40 sq.m., 3/4 floor"
"250,000 ֏ monthly","2 room apartment on Aram Khachatryan Street, 55 sq.m., 2/5 floor, high ceilings, designer renovation","Arabkir, 2 rm., 55 sq.m., 2/5 floor"
"200,000 ֏ monthly","2 room apartment in Narekatsi block, 72 sq.m., 11/16 floor, euro renovation","Avan, 2 rm., 72 sq.m., 11/16 floor"
"260,000 ֏ monthly","2 room apartment on Leningradyan Street, 75 sq.m., 2/5 floor, high ceilings, major renovation","Malatia-Sebastia, 2 rm., 75 sq.m., 2/5 floor"
"220,000 ֏ monthly","2 room apartment, Գրիբոյեդով փողոց, 60 sq.m., euro renovation, stone building","Arabkir, 2 rm., 60 sq.m., 4/4 floor"
"250,000 ֏ monthly","3 room apartment on Aghbyur Serob Street, 65 sq.m., 1/3 floor, major renovation, stone building","Arabkir, 3 rm., 65 sq.m., 1/3 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Monte Melkonyan Street, 105 sq.m., second to last floor","Malatia-Sebastia, 3 rm., 105 sq.m., 16/17 floor"
"270,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 104 sq.m., 8/16 floor, 2 bathrooms","Malatia-Sebastia, 3 rm., 104 sq.m., 8/16 floor"
"260,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 68 sq.m., 4/15 floor, high ceilings","Malatia-Sebastia, 3 rm., 68 sq.m., 4/15 floor"
"280,000 ֏ monthly","2 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 45 sq.m., 5/17 floor, high ceilings","Malatia-Sebastia, 2 rm., 45 sq.m., 5/17 floor"
"200,000 ֏ monthly","2 room apartment in a new building on Arshakuniants avenue, 67 sq.m., 5/7 floor, major renovation","Shengavit, 2 rm., 67 sq.m., 5/7 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Monte Melkonyan Street, 60 sq.m., 9/17 floor, high ceilings","Malatia-Sebastia, 2 rm., 60 sq.m., 9/17 floor"
"180,000 ֏ monthly","1 room apartment in Arabkir, 50 sq.m., 2/5 floor, high ceilings, euro renovation, stone building","Arabkir, 1 rm., 50 sq.m., 2/5 floor"
"350,000 ֏ monthly","3 room apartment on Saryan Street, 85 sq.m., 9/16 floor, major renovation","Kentron, 3 rm., 85 sq.m., 9/16 floor"
"350,000 ֏ monthly","3 room apartment on Tumanyan Street, 89 sq.m., second to last floor, high ceilings","Kentron, 3 rm., 89 sq.m., 4/5 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Nikoghayos Adonts street, 60 sq.m., 2/14 floor, high ceilings","Arabkir, 2 rm., 60 sq.m., 2/14 floor"
"180,000 ֏ monthly","2 room apartment on Karapet Ulnetsi Street, 50 sq.m., euro renovation","Kanaker-Zeytun, 2 rm., 50 sq.m., 9/9 floor"
"180,000 ֏ monthly","1 room apartment in a new building on Koryun Street, 21 sq.m., 1/8 floor, high ceilings","Kentron, 1 rm., 21 sq.m., 1/8 floor"
"250,000 ֏ monthly","3 room apartment on Mamikonyants Street, 76 sq.m., high ceilings, major renovation, stone building","Arabkir, 3 rm., 76 sq.m., 3/3 floor"
"250,000 ֏ monthly","2 room apartment on Abelian street, 42 sq.m., 2/5 floor, designer renovation, stone building","Ajapnyak, 2 rm., 42 sq.m., 2/5 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Ֆուչիկի փողոց, 65 sq.m., 9/13 floor, high ceilings","Ajapnyak, 2 rm., 65 sq.m., 9/13 floor"
"290,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 65 sq.m., second to last floor","Ajapnyak, 3 rm., 65 sq.m., 14/15 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Leningradyan Street, 59 sq.m., second to last floor","Ajapnyak, 2 rm., 59 sq.m., 14/15 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 49 sq.m., high ceilings","Ajapnyak, 2 rm., 49 sq.m., 15/15 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 73 sq.m., second to last floor","Ajapnyak, 3 rm., 73 sq.m., 13/14 floor"
"330,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 78 sq.m., 9/17 floor, high ceilings","Ajapnyak, 3 rm., 78 sq.m., 9/17 floor"
"300,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 80 sq.m., 12/17 floor, high ceilings","Ajapnyak, 3 rm., 80 sq.m., 12/17 floor"
"250,000 ֏ monthly","2 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 75 sq.m., 7/17 floor, high ceilings","Ajapnyak, 2 rm., 75 sq.m., 7/17 floor"
"300,000 ֏ monthly","3 room apartment, Davtashen 2nd Block, 76 sq.m., 3/9 floor, 2 bathrooms, euro renovation","Davtashen, 3 rm., 76 sq.m., 3/9 floor"
"270,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 77 sq.m., 7/18 floor","Davtashen, 3 rm., 77 sq.m., 7/18 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 52 sq.m., high ceilings","Davtashen, 2 rm., 52 sq.m., 17/17 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Tigran Petrosyan Street, 50 sq.m., 7/9 floor, high ceilings","Davtashen, 2 rm., 50 sq.m., 7/9 floor"
"280,000 ֏ monthly","2 room apartment in a new building in Davtashen 4th Block, 55 sq.m., 5/16 floor, high ceilings","Davtashen, 2 rm., 55 sq.m., 5/16 floor"
"250,000 ֏ monthly","2 room apartment in a new building, Davtashen 4th Block, 50 sq.m., 3/16 floor, high ceilings","Davtashen, 2 rm., 50 sq.m., 3/16 floor"
"350,000 ֏ monthly","2 room apartment in a new building, Davtashen 4th Block, 53 sq.m., second to last floor","Davtashen, 2 rm., 53 sq.m., 15/16 floor"
"290,000 ֏ monthly","3 room apartment in a new building, Անաստաս Միկոյանի փողոց, 74 sq.m., 8/18 floor, high ceilings","Davtashen, 3 rm., 74 sq.m., 8/18 floor"
"240,000 ֏ monthly","3 room apartment in Davtashen 3rd Block, 93 sq.m., 2/9 floor, euro renovation","Davtashen, 3 rm., 93 sq.m., 2/9 floor"
$900 monthly,"3 room apartment in a new building, Անաստաս Միկոյանի փողոց, 74 sq.m., 6/18 floor, high ceilings","Davtashen, 3 rm., 74 sq.m., 6/18 floor"
"250,000 ֏ monthly","3 room apartment in a new building on Davtashen 4th Street, 43 sq.m., 3/16 floor, high ceilings","Davtashen, 3 rm., 43 sq.m., 3/16 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 57 sq.m., 9/18 floor, high ceilings","Davtashen, 2 rm., 57 sq.m., 9/18 floor"
"270,000 ֏ monthly","2 room apartment in a new building, Անաստաս Միկոյանի փողոց, 60 sq.m., 12/18 floor, high ceilings","Davtashen, 2 rm., 60 sq.m., 12/18 floor"
"320,000 ֏ monthly","3 room apartment in a new building, Դավթաշեն 2-րդ թաղամաս, 74 sq.m., 10/14 floor, 2 bathrooms","Davtashen, 3 rm., 74 sq.m., 10/14 floor"
"270,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 71 sq.m., 3/9 floor, major renovation","Davtashen, 2 rm., 71 sq.m., 3/9 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 50 sq.m., 10/16 floor, high ceilings","Davtashen, 2 rm., 50 sq.m., 10/16 floor"
"270,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 70 sq.m., 13/18 floor, high ceilings","Davtashen, 2 rm., 70 sq.m., 13/18 floor"
"320,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 55 sq.m., 6/18 floor, high ceilings","Davtashen, 2 rm., 55 sq.m., 6/18 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 85 sq.m., second to last floor","Davtashen, 3 rm., 85 sq.m., 10/11 floor"
"450,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 110 sq.m., 15/18 floor, 2 bathrooms","Davtashen, 3 rm., 110 sq.m., 15/18 floor"
"300,000 ֏ monthly","3 room apartment in a new building in Davtashen 2nd Block, 72 sq.m., 9/14 floor, major renovation","Davtashen, 3 rm., 72 sq.m., 9/14 floor"
"250,000 ֏ monthly","3 room apartment on Aksel Bakunc 1-st lane, 85 sq.m., euro renovation","Nor Nork, 3 rm., 85 sq.m., 9/9 floor"
"180,000 ֏ monthly","2 room apartment on Totovents Street, 58 sq.m., 2/5 floor, 2 bathrooms, cosmetic renovation","Nor Nork, 2 rm., 58 sq.m., 2/5 floor"
"250,000 ֏ monthly","4 room apartment in a new building on Anastas Mikoyan Street, 110 sq.m., 7/18 floor, 2 bathrooms","Davtashen, 4 rm., 110 sq.m., 7/18 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Lvovyan Street, 60 sq.m., 3/7 floor, high ceilings","Nor Nork, 2 rm., 60 sq.m., 3/7 floor"
"200,000 ֏ monthly","2 room apartment in a new building on Moldovakan Street, 50 sq.m., 4/9 floor, euro renovation","Nor Nork, 2 rm., 50 sq.m., 4/9 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Davtashen 4th Street, 64 sq.m., 7/16 floor, high ceilings","Davtashen, 2 rm., 64 sq.m., 7/16 floor"
"$1,500 monthly","3 room apartment in a new building on Antarayin Street, 120 sq.m., 3/11 floor, 3+ bathrooms","Kentron, 3 rm., 120 sq.m., 3/11 floor"
"220,000 ֏ monthly","2 room apartment on Vardanants Street, 40 sq.m., euro renovation","Kentron, 2 rm., 40 sq.m., 9/9 floor"
"210,000 ֏ monthly","2 room apartment on Alek Manukyan Street, 60 sq.m., second to last floor, major renovation","Kentron, 2 rm., 60 sq.m., 3/4 floor"
"$2,400 monthly","4 room apartment in a new building on Amiryan Street, 165 sq.m., 8/12 floor, 2 bathrooms","Kentron, 4 rm., 165 sq.m., 8/12 floor"
"400,000 ֏ monthly","3 room apartment on Glinka Street, 73 sq.m., second to last floor, high ceilings, major renovation","Erebuni, 3 rm., 73 sq.m., 2/3 floor"
"120,000 ֏ monthly","1 room apartment on Moldovakan Street, 18 sq.m., 6/8 floor, cosmetic renovation, stone building","Nor Nork, 1 rm., 18 sq.m., 6/8 floor"
$950 monthly,"3 room apartment in a new building on Argishti Street, 76 sq.m., 5/14 floor, high ceilings","Kentron, 3 rm., 76 sq.m., 5/14 floor"
$900 monthly,"2 room apartment in a new building on Aram Khachatryan Street, 61 sq.m., 5/16 floor, high ceilings","Arabkir, 2 rm., 61 sq.m., 5/16 floor"
"350,000 ֏ monthly","2 room apartment on Mashtots Avenue, 60 sq.m., 5/14 floor, major renovation","Kentron, 2 rm., 60 sq.m., 5/14 floor"
"$1,500 monthly","3 room apartment on Armen Tigranyan Street, 150 sq.m., 2 bathrooms, high ceilings","Arabkir, 3 rm., 150 sq.m., 5/5 floor"
"$1,200 monthly","3 room apartment on Hanrapetutyan Street, 75 sq.m., 3/9 floor, major renovation","Kentron, 3 rm., 75 sq.m., 3/9 floor"
"480,000 ֏ monthly","3 room apartment in a new building on Maro Margaryan Street, 95 sq.m., 5/10 floor, 2 bathrooms","Arabkir, 3 rm., 95 sq.m., 5/10 floor"
"350,000 ֏ monthly","2 room apartment on Sayat-Nova Avenue, 65 sq.m., 6/12 floor, euro renovation","Kentron, 2 rm., 65 sq.m., 6/12 floor"
"180,000 ֏ monthly","2 room apartment in a new building on First Street, 80 sq.m., 1/3 floor, euro renovation","Dilijan, 2 rm., 80 sq.m., 1/3 floor"
"$2,000 monthly","4 room apartment in a new building, Sarmen Street near Cascade, 136 sq.m., 8/11 floor, 2 bathrooms","Kentron, 4 rm., 136 sq.m., 8/11 floor"
"180,000 ֏ monthly","2 room apartment on Hunan Avetisyan Street, 34 sq.m., major renovation","Nor Nork, 2 rm., 34 sq.m., 9/9 floor"
"390,000 ֏ monthly","3 room apartment, Komitas Avenue, 80 sq.m., 2/5 floor, major renovation, stone building","Arabkir, 3 rm., 80 sq.m., 2/5 floor"
"$1,200 monthly","3 room apartment in a new building on Aghbyur Serob Street, 51 sq.m., 8/11 floor, high ceilings","Arabkir, 3 rm., 51 sq.m., 8/11 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 65 sq.m., 11/16 floor, high ceilings","Ajapnyak, 3 rm., 65 sq.m., 11/16 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Aghbyur Serob Street, 65 sq.m., 5/11 floor, high ceilings","Arabkir, 3 rm., 65 sq.m., 5/11 floor"
"$1,200 monthly","3 room apartment in a new building on Almaty Street, 85 sq.m., 2 bathrooms, high ceilings","Avan, 3 rm., 85 sq.m., 12/12 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Hanrapetutyan Street, 60 sq.m., second to last floor","Kentron, 2 rm., 60 sq.m., 5/6 floor"
"450,000 ֏ monthly","2 room apartment in a new building on Manuk Abeghyan Street, 50 sq.m., 3/6 floor, high ceilings","Kentron, 2 rm., 50 sq.m., 3/6 floor"
"$1,200 monthly","3 room apartment in a new building on Aram Khachatryan Street, 100 sq.m., 9/15 floor, high ceilings","Arabkir, 3 rm., 100 sq.m., 9/15 floor"
"380,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 60 sq.m., 11/18 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 11/18 floor"
"290,000 ֏ monthly","2 room apartment in a new building on Adonts Street, 60 sq.m., designer renovation","Arabkir, 2 rm., 60 sq.m., 8/8 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Արգիշտի փողոց, 80 sq.m., 11/14 floor, high ceilings","Kentron, 3 rm., 80 sq.m., 11/14 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Argishti Street, 90 sq.m., 10/14 floor, 2 bathrooms","Kentron, 3 rm., 90 sq.m., 10/14 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Argishti Street, 120 sq.m., 7/14 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 7/14 floor"
"330,000 ֏ monthly","4 room apartment in a new building on Sose Street, 130 sq.m., 1/8 floor, high ceilings","Arabkir, 4 rm., 130 sq.m., 1/8 floor"
"290,000 ֏ monthly","1 room apartment, Մեսրոպ Մաշտոցի պողոտա, 50 sq.m., 6/9 floor, high ceilings, euro renovation","Kentron, 1 rm., 50 sq.m., 6/9 floor"
$800 monthly,"2 room apartment on Tumanyan Street, 65 sq.m., 4/10 floor, high ceilings, major renovation","Kentron, 2 rm., 65 sq.m., 4/10 floor"
"300,000 ֏ monthly","2 room apartment on Amiryan Street, 67 sq.m., 3/5 floor, high ceilings, major renovation","Kentron, 2 rm., 67 sq.m., 3/5 floor"
"280,000 ֏ monthly","2 room apartment on Nar-Dos Street, 75 sq.m., 8/10 floor, high ceilings, major renovation","Kentron, 2 rm., 75 sq.m., 8/10 floor"
"300,000 ֏ monthly","2 room apartment on Tumanyan Street, 70 sq.m., 3/5 floor, high ceilings, major renovation","Kentron, 2 rm., 70 sq.m., 3/5 floor"
"370,000 ֏ monthly","2 room apartment, Vardanants Street, 70 sq.m., 9/12 floor, multiple balconies, designer renovation","Kentron, 2 rm., 70 sq.m., 9/12 floor"
"310,000 ֏ monthly","2 room apartment on Sayat-Nova Avenue, 52 sq.m., 6/10 floor, high ceilings, major renovation","Kentron, 2 rm., 52 sq.m., 6/10 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Aram Street, 60 sq.m., high ceilings, designer renovation","Kentron, 2 rm., 60 sq.m., 12/12 floor"
"300,000 ֏ monthly","2 room apartment on Tumanyan Street, 72 sq.m., 2/5 floor, high ceilings, major renovation","Kentron, 2 rm., 72 sq.m., 2/5 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Argishti Street, 76 sq.m., 12/14 floor, high ceilings","Kentron, 3 rm., 76 sq.m., 12/14 floor"
"300,000 ֏ monthly","3 room apartment on Tigran Mets Avenue, 75 sq.m., second to last floor, high ceilings","Kentron, 3 rm., 75 sq.m., 8/9 floor"
"400,000 ֏ monthly","3 room apartment in a new building, Արգիշտի փողոց, 105 sq.m., 4/14 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 105 sq.m., 4/14 floor"
"340,000 ֏ monthly","3 room apartment in a new building, Argishti Street, 98 sq.m., 7/14 floor, 2 bathrooms","Kentron, 3 rm., 98 sq.m., 7/14 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Արգիշտի փողոց, 120 sq.m., 4/14 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 120 sq.m., 4/14 floor"
"330,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 55 sq.m., 14/17 floor, high ceilings","Davtashen, 3 rm., 55 sq.m., 14/17 floor"
"380,000 ֏ monthly","2 room apartment in a new building on Karapet Ulnetsi Street, 68 sq.m., 10/16 floor, high ceilings","Kanaker-Zeytun, 2 rm., 68 sq.m., 10/16 floor"
"440,000 ֏ monthly","3 room apartment in a new building on Aghbyur Serob Street, 65 sq.m., 5/11 floor, high ceilings","Arabkir, 3 rm., 65 sq.m., 5/11 floor"
"280,000 ֏ monthly","3 room apartment in a new building on Vratsakan Street 4th lane, 81 sq.m., 7/14 floor","Arabkir, 3 rm., 81 sq.m., 7/14 floor"
"250,000 ֏ monthly","2 room apartment on Vahram Papazyan Street, 71 sq.m., 7/16 floor, euro renovation","Arabkir, 2 rm., 71 sq.m., 7/16 floor"
"$4,500 monthly","Spacious 5 room apartment in a new building on Alek Manoukyan street, 300 sq.m., 3/6 floor","Kentron, 5 rm., 300 sq.m., 3/6 floor"
"$1,500 monthly","3 room apartment in a new building on Leo street, 110 sq.m., 4/16 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 110 sq.m., 4/16 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Sasna Tsrer Street, 52 sq.m., 11/17 floor, high ceilings","Davtashen, 2 rm., 52 sq.m., 11/17 floor"
"250,000 ֏ monthly","2 room apartment, Մովսես Խորենացու փողոց, 70 sq.m., 9/12 floor, designer renovation","Kentron, 2 rm., 70 sq.m., 9/12 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Erebuni Street, 75 sq.m., 11/15 floor, designer renovation","Erebuni, 3 rm., 75 sq.m., 11/15 floor"
"220,000 ֏ monthly","2 room apartment on Orbeli Brothers street, 50 sq.m., 6/9 floor, designer renovation","Arabkir, 2 rm., 50 sq.m., 6/9 floor"
"210,000 ֏ monthly","2 room apartment in a new building on Arno Babajanyan Street, 50 sq.m., high ceilings","Malatia-Sebastia, 2 rm., 50 sq.m., 4/4 floor"
$850 monthly,"2 room apartment in a new building, Aram Street, 43 sq.m., 4/18 floor, designer renovation","Kentron, 2 rm., 43 sq.m., 4/18 floor"
"200,000 ֏ monthly","3 room apartment in Echmiadzin, 75 sq.m., 1/5 floor, major renovation, stone building","Echmiadzin, 3 rm., 75 sq.m., 1/5 floor"
"200,000 ֏ monthly","3 room apartment on Mesrop Mashtots Street, 64 sq.m., euro renovation, stone building","Echmiadzin, 3 rm., 64 sq.m., 5/5 floor"
"$1,000 monthly","3 room apartment, Tumanyan Street, 90 sq.m., 6/10 floor, designer renovation, stone building","Kentron, 3 rm., 90 sq.m., 6/10 floor"
"260,000 ֏ monthly","2 room apartment in a new building, Griboyedov Street, 70 sq.m., 3/7 floor, 2 bathrooms","Arabkir, 2 rm., 70 sq.m., 3/7 floor"
"250,000 ֏ monthly","2 room apartment in a new building, Paruyr Sevak Street, 70 sq.m., second to last floor","Kanaker-Zeytun, 2 rm., 70 sq.m., 14/15 floor"
"280,000 ֏ monthly","3 room apartment, Tumanyan Street near the opera, 88 sq.m., 2/5 floor, high ceilings","Kentron, 3 rm., 88 sq.m., 2/5 floor"
"400,000 ֏ monthly","Spacious 2 room apartment in a new building on Northern Avenue, 122 sq.m., 2 bathrooms","Kentron, 2 rm., 122 sq.m., 8/8 floor"
"260,000 ֏ monthly","3 room apartment, Վաղարշ Վաղարշյան փողոց, 90 sq.m., 1/5 floor, euro renovation, stone building","Arabkir, 3 rm., 90 sq.m., 1/5 floor"
"280,000 ֏ monthly","2 room apartment in a new building on Nalbandyan Street, 68 sq.m., 10/16 floor, designer renovation","Kentron, 2 rm., 68 sq.m., 10/16 floor"
"260,000 ֏ monthly","2 room apartment, Sayat-Nova Avenue, 80 sq.m., designer renovation, stone building","Kentron, 2 rm., 80 sq.m., 7/7 floor"
"220,000 ֏ monthly","2 room apartment on Vagharshyan Street, 74 sq.m., second to last floor, multiple balconies","Arabkir, 2 rm., 74 sq.m., 4/5 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Rostom Street, 80 sq.m., 8/21 floor, 2 bathrooms","Kentron, 3 rm., 80 sq.m., 8/21 floor"
"230,000 ֏ monthly","2 room apartment in a new building on Argishti Street, 60 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 60 sq.m., 13/14 floor"
"260,000 ֏ monthly","3 room apartment, 19-я улица Арабкир, 106 sq.m., euro renovation, stone building","Arabkir, 3 rm., 106 sq.m., 13/13 floor"
"320,000 ֏ monthly","3 room apartment on Yervand Kochar Street, 102 sq.m., 2/10 floor, euro renovation, stone building","Kentron, 3 rm., 102 sq.m., 2/10 floor"
"$1,000 monthly","3 room apartment on Teryan Street, 69 sq.m., high ceilings, euro renovation, stone building","Kentron, 3 rm., 69 sq.m., 4/4 floor"
"250,000 ֏ monthly","3 room apartment, Mamikonyants Street, 78 sq.m., second to last floor, euro renovation","Arabkir, 3 rm., 78 sq.m., 4/5 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Pavstos Buzand Street, 60 sq.m., 1/15 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 1/15 floor"
"350,000 ֏ monthly","4 room apartment on Yervand Kochar Street, 81 sq.m., second to last floor, euro renovation","Kentron, 4 rm., 81 sq.m., 9/10 floor"
"240,000 ֏ monthly","2 room apartment in a new building on Karapet Ulnetsi Street, 70 sq.m., 5/16 floor, high ceilings","Kanaker-Zeytun, 2 rm., 70 sq.m., 5/16 floor"
"250,000 ֏ monthly","2 room apartment on Mamikonyants Street, 76 sq.m., high ceilings, multiple balconies","Arabkir, 2 rm., 76 sq.m., 3/3 floor"
"240,000 ֏ monthly","2 room apartment in a new building, Davtashen 4th Block, 45 sq.m., euro renovation","Davtashen, 2 rm., 45 sq.m., 3/3 floor"
"$1,350 monthly","3 room apartment in a new building on Sayat-Nova Avenue, 122 sq.m., 3/21 floor, 2 bathrooms","Kentron, 3 rm., 122 sq.m., 3/21 floor"
"290,000 ֏ monthly","4 room apartment in a new building on Viktor Hambardzumyan Street, 120 sq.m., 3/14 floor","Arabkir, 4 rm., 120 sq.m., 3/14 floor"
"$3,000 monthly","5 room apartment in a new building on Sasna Tsrer Street, 150 sq.m., 6/16 floor, 2 bathrooms","Davtashen, 5 rm., 150 sq.m., 6/16 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Karapet Ulnetsi Street, 69 sq.m., 6/16 floor, high ceilings","Kanaker-Zeytun, 2 rm., 69 sq.m., 6/16 floor"
"160,000 ֏ monthly","3 room apartment in Kentron District, 80 sq.m., 3/9 floor, major renovation","Hrazdan, 3 rm., 80 sq.m., 3/9 floor"
"250,000 ֏ monthly","2 room apartment on Artsakh Avenue, 84 sq.m., second to last floor, high ceilings","Erebuni, 2 rm., 84 sq.m., 3/4 floor"
"$3,500 monthly","4 room apartment in a new building on Yekmalyan street, 140 sq.m., 15/18 floor, 2 bathrooms","Kentron, 4 rm., 140 sq.m., 15/18 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Charents Street, 70 sq.m., 3/17 floor, high ceilings","Kentron, 2 rm., 70 sq.m., 3/17 floor"
"350,000 ֏ monthly","2 room apartment on Komitas Avenue, 54 sq.m., 3/5 floor, high ceilings, major renovation","Arabkir, 2 rm., 54 sq.m., 3/5 floor"
"$3,500 monthly","3 room apartment in a new building on Yekmalyan street, 144 sq.m., 2 bathrooms, high ceilings","Kentron, 3 rm., 144 sq.m., 17/19 floor"
"$2,000 monthly","4 room apartment in a new building on Sarmen Street, 135 sq.m., 8/11 floor, 2 bathrooms","Kentron, 4 rm., 135 sq.m., 8/11 floor"
"200,000 ֏ monthly","3 room apartment, Komitas avenu, 72 sq.m., 3/5 floor, cosmetic renovation, stone building","Arabkir, 3 rm., 72 sq.m., 3/5 floor"
"200,000 ֏ monthly","2 room apartment on Paronyan Street, 68 sq.m., 7/9 floor, euro renovation","Kentron, 2 rm., 68 sq.m., 7/9 floor"
